"Connections","Connexions"
"Connection List","Liste des connexions"
"Connection Information","Informations sur la connexion"
"Name","Nom"
"API URL","URL API"
"API Key","Clé API"
"Store view to use for catalog product translation during products export, for the currency and the stock (associated to the website) used during prices & stocks export. Selected store view will also be used to create Magento orders when importing Mirakl orders.","Vue magasin à utiliser pour la traduction du catalogue, pour la devise et le stock (associés au site web) utilisés lors de l'export. La vue magasin sélectionnée sera également utilisée pour créer les commandes Magento lors de l'import des commandes Mirakl."
"Shop Id","Id boutique"
"Error SKU Column","Colonne SKU des échecs"
"Errors Column","Colonne des erreurs"
"Success SKU Column","Colonne SKU des succès"
"Messages Column","Colonne des messages"
"Last Synchronization Date","Dernière date de synchronisation"
"Action","Action"
"Edit","Modifier"
"Test","Tester"
"Delete","Supprimer"
"Delete %1","Supprimer %1"
"This connection no longer exists.","Cette connexion n'existe plus."
"Something went wrong while saving the connection.","Quelque chose s'est mal passé lors de la sauvegarde de la connexion."
"Add New Connection","Ajouter une connexion"
"Edit Connection","Modifier la connexion"
"Edit Connection '%1'","Modifier la connexion '%1'"
"New Connection","Nouvelle connexion"
"Save Connection","Enregistrer la connexion"
"Delete Connection","Supprimer la connexion"
"Please specify your Mirakl API parameters.","Veuillez spécifier vos paramètres API Mirakl."
"For example: https://<your_mirakl>/api. Replace <your_mirakl> with the URL you are using to log in to your Mirakl back office for this connection. This URL should have been provided by the marketplace.","Par exemple : https:<votre_mirakl>/api. Remplacez <votre_mirakl> par le lien que vous utilisez pour vous connecter à Mirakl. Le lien a dû vous être transmis par la marketplace."
"A shop API key looks like this: xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxx","La clé API Shop ressemble à : xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxx"
"The connection has been saved.","La connexion a été sauvegardée."
"The connection has been deleted.","La connexion a été supprimée."
"Test connection:","Test de la connexion :"
"SUCCESS","Succès"
"An error occurred: %1","Une erreur est survenue : %1"
"CONN-01: Unexpected system error. Mirakl cannot be reached.","CONN-01: Erreur système inattendue. Mirakl n'est pas accessible."
"CONN-02: The API cannot be reached. Please check the API URL.","CONN-02 : L'API ne peut pas être contactée. Vérifiez l'URL de l'API."
"CONN-03: You are not authorized to use the API. Please check your API key.","CONN-03 : Vous n'êtes pas autorisé à utiliser l'API. Vérifiez votre clé API."
"Are you sure you want to delete this Mirakl '%1' connection?","La suppression d'une connexion supprime aussi de Magento toutes les données Mirakl relatives à cette connexion (listings, trackings). Aucune donnée ne sera supprimée de votre compte Mirakl. Pour supprimer des offres dans Mirakl, veuillez contacter votre opérateur pour obtenir la documentation Mirakl."
"Marketplace Reports Configuration","Configurer les rapports marketplace"
"Error Report","Rapport d'erreur"
"Integration Error Report","Rapport d'erreurs d'intégration"
"SKU Column","Colonne SKU"
"Column name containing the product SKU in the marketplace integration error report. This is required to read the report and display integration errors messages at the product level in Magento.","Nom de la colonne contenant le SKU produit dans le rapport d'erreur d'intégration généré par la marketplace. Cela est requis pour l'interprétation du rapport et l'affichage des messages d'intégration au niveau du produit dans Magento."
"Name of the column containing errors messages in the integration files (API P44 only)","Nom de la colonne contenant les messages d'erreurs dans les fichiers d'intégration (API P44 seulement)"
"Success Report","Rapport d'intégration"
